2018/02/25 02:51:59 [error] 1382#0: *2 open() "/usr/share/nginx/html/phpMyAdmin" failed (2: No such file or directory), client: 163.179.54.236, server: _, request: "GET /phpMyAdmin HTTP/1.1", host: "120.79.133.232"
2018/02/25 02:52:36 [error] 1382#0: *3 open() "/usr/share/nginx/html/phpMyAdmin" failed (2: No such file or directory), client: 106.120.160.119, server: _, request: "GET /phpMyAdmin HTTP/1.1", host: "120.79.133.232", referrer: "http://120.79.133.232/phpMyAdmin"
2018/02/25 02:52:52 [error] 1382#0: *4 open() "/usr/share/nginx/html/phpMyAdmin" failed (2: No such file or directory), client: 101.199.112.53, server: _, request: "GET /phpMyAdmin HTTP/1.1", host: "120.79.133.232"
2018/02/25 02:53:25 [error] 1382#0: *5 open() "/usr/share/nginx/html/phpMyAdmin" failed (2: No such file or directory), client: 182.118.20.144, server: _, request: "GET /phpMyAdmin HTTP/1.1", host: "120.79.133.232"
2018/02/25 02:53:58 [error] 1382#0: *6 open() "/usr/share/nginx/html/phpMyAdmin" failed (2: No such file or directory), client: 171.13.14.133, server: _, request: "GET /phpMyAdmin HTTP/1.1", host: "120.79.133.232"
2018/02/25 04:38:59 [error] 1382#0: *28 open() "/usr/share/nginx/html/webservice/proxy/validate" failed (2: No such file or directory), client: 101.200.72.63, server: _, request: "GET http://101.200.72.63:8080/webservice/proxy/validate HTTP/1.0", host: "101.200.72.63"
2018/02/25 07:28:40 [error] 1382#0: *30 open() "/usr/share/nginx/html/azenv.php" failed (2: No such file or directory), client: 5.178.86.76, server: _, request: "POST http://check.best-proxies.ru/azenv.php?auth=151951492065&a=PSCN&i=2018477544&p=80 HTTP/1.1", host: "check.best-proxies.ru", referrer: "http://best-proxies.ru/"
2018/02/25 11:54:56 [error] 1382#0: *32 directory index of "/usr/share/nginx/html/phpMyAdmin/" is forbidden, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", host: "120.79.133.232"
2018/02/25 11:55:07 [error] 1382#0: *32 directory index of "/usr/share/nginx/html/phpMyAdmin/" is forbidden, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", host: "120.79.133.232"
2018/02/25 12:16:34 [error] 1382#0: *36 open() "/usr/share/nginx/html/validate.php" failed (2: No such file or directory), client: 47.94.43.182, server: _, request: "GET http://47.95.32.16/validate.php?step=0&n=discover&proto=http&ip=120.79.133.232&port=80&t=1519532194449&h=47.94.43.182&cip=&xff=&loc=1156330100 HTTP/1.1", host: "47.95.32.16"
2018/02/25 12:36:05 [error] 1382#0: *37 open() "/usr/share/nginx/html/cache/global/img/gs.gif" failed (2: No such file or directory), client: 80.82.78.50, server: _, request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2018/02/25 12:41:09 [error] 1382#0: *38 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 163.179.54.189, server: _, request: "GET /favicon.ico HTTP/1.1", host: "120.79.133.232", referrer: "http://120.79.133.232/"
2018/02/25 12:41:18 [error] 1382#0: *38 directory index of "/usr/share/nginx/html/phpMyAdmin/" is forbidden, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", host: "120.79.133.232"
2018/02/25 12:56:05 [error] 3427#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 12:56:12 [error] 3427#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 12:58:55 [error] 3506#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 12:58:56 [error] 3506#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 12:58:56 [error] 3506#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 12:58:57 [error] 3506#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 163.179.54.189, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:18:29 [error] 3506#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:18:31 [error] 3506#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:18:32 [error] 3506#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:18:32 [error] 3506#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:14 [error] 3662#0: *1 "/usr/share/nginx/html/phpMyAdmin/phpMyAdmin/index.html" is not found (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", host: "120.79.133.232"
2018/02/25 13:19:14 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/404.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET /phpMyAdmin/ HTTP/1.1", host: "120.79.133.232"
2018/02/25 13:19:30 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:30 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:31 [error] 3662#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:19:31 [error] 3662#0: *1 open() "/usr/share/nginx/html/phpMyAdmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
